Timestamp,CPU_Usage_%,RAM_Usage_%,Wifi_TX_Mbps,Wifi_RX_Mbps
2025-12-31 14:12:56.515,0.2,7.7,0.00,0.00
2025-12-31 14:12:57.516,0.8,7.8,0.00,0.00
2025-12-31 14:12:58.517,0.0,7.8,0.00,0.00
2025-12-31 14:12:59.519,0.0,7.8,0.00,0.00
2025-12-31 14:13:43.116,0.1,7.8,0.09,0.05
2025-12-31 14:13:44.117,0.0,7.8,0.09,0.04
2025-12-31 14:13:45.118,0.0,7.8,0.09,0.04
2025-12-31 14:13:46.120,0.2,7.8,0.09,0.05
2025-12-31 14:13:47.121,0.4,7.8,0.09,0.04
2025-12-31 14:13:48.122,0.1,7.8,0.09,0.04
2025-12-31 14:13:49.123,0.2,7.8,0.09,0.04
2025-12-31 14:13:50.125,0.0,7.8,0.09,0.05
2025-12-31 14:13:51.126,0.1,7.8,0.09,0.04
2025-12-31 14:13:52.127,0.0,7.8,0.09,0.04
2025-12-31 14:13:53.128,0.1,7.8,0.09,0.05
2025-12-31 14:13:54.129,0.1,7.8,0.09,0.05
2025-12-31 14:13:55.130,0.0,7.8,0.09,0.04
2025-12-31 14:13:56.131,0.2,7.8,0.09,0.05
2025-12-31 14:13:57.132,0.0,7.8,0.09,0.04
2025-12-31 14:13:58.133,0.0,7.8,0.09,0.05
2025-12-31 14:13:59.134,0.1,7.8,0.09,0.04
2025-12-31 14:14:00.135,0.0,7.8,0.09,0.05
2025-12-31 14:14:01.136,0.0,7.8,0.09,0.04
2025-12-31 14:14:02.137,0.1,7.8,0.09,0.05
2025-12-31 14:14:03.138,0.0,7.8,0.09,0.04
2025-12-31 14:14:04.140,0.0,7.8,0.09,0.05
2025-12-31 14:14:05.140,0.0,7.8,0.09,0.06
2025-12-31 14:14:06.142,0.0,7.8,0.09,0.06
2025-12-31 14:14:07.143,0.0,7.8,0.09,0.05
2025-12-31 14:14:08.144,0.0,7.8,0.09,0.04
2025-12-31 14:14:09.145,0.0,7.8,0.09,0.05
2025-12-31 14:14:10.146,0.1,7.8,0.09,0.05
2025-12-31 14:14:11.147,0.0,7.8,0.09,0.05
2025-12-31 14:14:12.148,0.1,7.8,0.09,0.05
2025-12-31 14:14:13.149,0.0,7.8,0.09,0.05
2025-12-31 14:14:14.150,0.1,7.8,0.09,0.05
2025-12-31 14:14:15.151,0.1,7.8,0.09,0.05
2025-12-31 14:14:16.152,0.2,7.8,0.09,0.05
2025-12-31 14:14:17.153,0.1,7.8,0.09,0.04
2025-12-31 14:14:18.154,0.1,7.8,0.09,0.05
2025-12-31 14:14:19.156,0.0,7.8,0.09,0.04
2025-12-31 14:14:20.158,0.0,7.8,0.09,0.05
2025-12-31 14:14:21.160,0.1,7.8,0.09,0.04
2025-12-31 14:14:22.162,0.1,7.8,0.09,0.05
2025-12-31 14:14:23.163,0.1,7.8,0.09,0.04
2025-12-31 14:14:24.165,0.1,7.8,0.09,0.05
2025-12-31 14:14:25.167,0.1,7.8,0.09,0.04
2025-12-31 14:14:26.168,0.1,7.8,0.09,0.05
2025-12-31 14:14:27.169,0.2,7.8,0.09,0.04
2025-12-31 14:14:28.171,0.2,7.8,0.09,0.04
2025-12-31 14:14:29.172,0.3,7.8,0.09,0.04
2025-12-31 14:14:30.173,0.2,7.8,0.09,0.05
2025-12-31 14:14:31.174,0.2,7.8,0.09,0.04
2025-12-31 14:14:32.175,0.2,7.8,0.09,0.04
2025-12-31 14:14:33.176,0.2,7.8,0.09,0.04
2025-12-31 14:14:34.177,0.3,7.8,0.09,0.04
2025-12-31 14:14:35.178,0.2,7.8,0.09,0.04
2025-12-31 14:14:36.180,0.2,7.8,0.09,0.05
2025-12-31 14:14:37.181,0.2,7.8,0.09,0.05
2025-12-31 14:14:38.182,0.2,7.8,0.09,0.05
2025-12-31 14:14:39.183,0.3,7.8,0.09,0.05
2025-12-31 14:14:40.184,0.2,7.8,0.10,0.05
2025-12-31 14:14:41.186,0.2,7.8,0.09,0.05
2025-12-31 14:14:42.188,0.4,7.8,0.09,0.05
2025-12-31 14:14:43.189,0.4,7.8,0.09,0.05
2025-12-31 14:14:44.191,0.2,7.8,0.09,0.05
2025-12-31 14:14:45.193,0.1,7.8,0.09,0.05
2025-12-31 14:14:46.194,0.1,7.8,0.09,0.04
2025-12-31 14:14:47.195,0.2,7.8,0.09,0.05
2025-12-31 14:14:48.197,0.2,7.8,0.09,0.05
2025-12-31 14:14:49.198,0.2,7.8,0.09,0.05
2025-12-31 14:14:50.200,0.1,7.8,0.10,0.05
2025-12-31 14:14:51.201,0.1,7.8,0.09,0.05
2025-12-31 14:14:52.202,0.1,7.8,0.10,0.05
2025-12-31 14:14:53.203,0.2,7.8,0.09,0.05
2025-12-31 14:14:54.205,0.2,7.8,0.10,0.05
2025-12-31 14:14:55.206,0.2,7.8,0.09,0.05
2025-12-31 14:14:56.208,0.2,7.8,0.10,0.05
2025-12-31 14:14:57.209,0.1,7.8,0.09,0.05
2025-12-31 14:14:58.211,0.2,7.8,0.10,0.05
2025-12-31 14:14:59.212,0.0,7.8,0.10,0.05
2025-12-31 14:15:00.213,0.4,7.8,0.10,0.05
2025-12-31 14:15:01.214,0.1,7.8,0.09,0.05
2025-12-31 14:15:02.215,0.2,7.8,0.09,0.05
2025-12-31 14:15:03.216,0.1,7.8,0.09,0.05
2025-12-31 14:15:04.217,0.2,7.8,0.10,0.06
2025-12-31 14:15:05.218,0.2,7.8,0.09,0.07
2025-12-31 14:15:06.219,0.4,7.8,0.09,0.06
2025-12-31 14:15:07.220,0.2,7.8,0.09,0.05
2025-12-31 14:15:08.221,0.2,7.8,0.10,0.06
2025-12-31 14:15:09.222,0.3,7.8,0.09,0.05
2025-12-31 14:15:10.224,0.4,7.8,0.10,0.06
2025-12-31 14:15:11.225,0.3,7.8,0.10,0.05
2025-12-31 14:15:12.226,0.3,7.8,0.10,0.06
2025-12-31 14:15:13.227,0.2,7.8,0.10,0.05
2025-12-31 14:15:14.228,0.2,7.8,0.10,0.05
2025-12-31 14:15:15.230,0.2,7.8,0.09,0.05
2025-12-31 14:15:16.232,0.3,7.8,0.09,0.04
2025-12-31 14:15:17.233,0.5,7.8,0.09,0.04
2025-12-31 14:15:18.234,0.2,7.8,0.09,0.04
2025-12-31 14:15:19.236,0.3,7.8,0.09,0.05
2025-12-31 14:15:20.237,0.2,7.8,0.09,0.05
2025-12-31 14:15:21.238,0.3,7.8,0.09,0.04
2025-12-31 14:15:22.240,0.3,7.8,0.09,0.04
2025-12-31 14:15:23.241,0.2,7.8,0.09,0.05
2025-12-31 14:15:24.243,0.2,7.8,0.09,0.05
2025-12-31 14:15:25.244,0.2,7.8,0.09,0.05
2025-12-31 14:15:26.246,0.2,7.8,0.09,0.04
2025-12-31 14:15:27.247,0.3,7.8,0.09,0.04
2025-12-31 14:15:28.248,0.0,7.8,0.09,0.04
2025-12-31 14:15:29.249,0.3,7.8,0.09,0.05
2025-12-31 14:15:30.251,0.2,7.8,0.10,0.05
2025-12-31 14:15:31.252,0.2,7.8,0.10,0.05
2025-12-31 14:15:32.253,0.2,7.8,0.10,0.05
2025-12-31 14:15:33.254,0.1,7.8,0.10,0.05
2025-12-31 14:15:34.255,0.1,7.8,0.09,0.05
2025-12-31 14:15:35.256,0.2,7.8,0.10,0.05
2025-12-31 14:15:36.257,0.2,7.8,0.10,0.05
2025-12-31 14:15:37.258,0.1,7.8,0.09,0.05
2025-12-31 14:15:38.260,0.3,7.8,0.09,0.05
2025-12-31 14:15:39.261,0.2,7.8,0.09,0.05
2025-12-31 14:15:40.263,0.2,7.8,0.09,0.05
2025-12-31 14:15:41.265,0.1,7.8,0.09,0.05
2025-12-31 14:15:42.266,0.1,7.8,0.09,0.05
2025-12-31 14:15:43.268,0.1,7.8,0.09,0.05
2025-12-31 14:15:44.269,0.1,7.8,0.10,0.05
2025-12-31 14:15:45.270,0.0,7.8,0.09,0.05
2025-12-31 14:15:46.271,0.2,7.8,0.10,0.05
2025-12-31 14:15:47.272,0.2,7.8,0.10,0.05
2025-12-31 14:15:48.273,0.2,7.8,0.09,0.05
2025-12-31 14:15:49.274,0.1,7.8,0.10,0.05
2025-12-31 14:15:50.276,0.2,7.8,0.10,0.05
2025-12-31 14:15:51.277,0.1,7.8,0.09,0.05
2025-12-31 14:15:52.278,0.2,7.8,0.10,0.05
2025-12-31 14:15:53.280,0.2,7.8,0.09,0.05
2025-12-31 14:15:54.281,0.1,7.8,0.09,0.05
2025-12-31 14:15:55.283,0.0,7.8,0.10,0.05
2025-12-31 14:15:56.284,0.2,7.8,0.10,0.05
2025-12-31 14:15:57.285,0.2,7.8,0.10,0.05
2025-12-31 14:15:58.287,0.2,7.8,0.09,0.05
2025-12-31 14:15:59.289,0.1,7.8,0.09,0.05
2025-12-31 14:16:00.290,0.0,7.8,0.10,0.05
2025-12-31 14:16:01.291,0.2,7.8,0.09,0.05
2025-12-31 14:16:02.293,0.1,7.8,0.09,0.05
2025-12-31 14:16:03.294,0.0,7.8,0.09,0.05
2025-12-31 14:16:04.295,0.2,7.8,0.09,0.05
2025-12-31 14:16:05.296,0.1,7.8,0.09,0.05
2025-12-31 14:16:06.297,0.0,7.8,0.09,0.05
2025-12-31 14:16:07.298,0.1,7.8,0.09,0.04
2025-12-31 14:16:08.299,0.1,7.8,0.09,0.05
2025-12-31 14:16:09.300,0.0,7.8,0.09,0.05
2025-12-31 14:16:10.302,0.1,7.8,0.10,0.05
2025-12-31 14:16:11.303,0.1,7.8,0.09,0.05
2025-12-31 14:16:12.304,0.1,7.8,0.10,0.05
2025-12-31 14:16:13.306,0.0,7.8,0.10,0.05
2025-12-31 14:16:14.307,0.1,7.8,0.10,0.05
2025-12-31 14:16:15.309,0.1,7.8,0.09,0.05
2025-12-31 14:16:16.311,0.0,7.8,0.10,0.05
2025-12-31 14:16:17.313,0.2,7.8,0.10,0.05
2025-12-31 14:16:18.314,0.1,7.8,0.10,0.05
2025-12-31 14:16:19.315,0.2,7.8,0.10,0.05
2025-12-31 14:16:20.317,0.0,7.8,0.10,0.05
2025-12-31 14:16:21.318,0.1,7.8,0.10,0.05
2025-12-31 14:16:22.320,0.2,7.8,0.10,0.05
2025-12-31 14:16:23.321,0.1,7.8,0.10,0.05
2025-12-31 14:16:24.323,0.1,7.8,0.10,0.05
2025-12-31 14:16:25.324,0.0,7.8,0.10,0.05
2025-12-31 14:16:26.325,0.1,7.8,0.10,0.05
2025-12-31 14:16:27.326,0.1,7.8,0.10,0.05
2025-12-31 14:16:28.328,0.1,7.8,0.10,0.05
2025-12-31 14:16:29.330,0.0,7.8,0.10,0.05
2025-12-31 14:16:30.331,0.1,7.8,0.10,0.05
2025-12-31 14:16:31.333,0.1,7.8,0.10,0.05
2025-12-31 14:16:32.334,0.0,7.8,0.10,0.05
2025-12-31 14:16:33.335,0.0,7.8,0.10,0.05
2025-12-31 14:16:34.336,0.1,7.8,0.10,0.05
2025-12-31 14:16:35.337,0.0,7.8,0.10,0.05
2025-12-31 14:16:36.339,0.1,7.8,0.10,0.05
2025-12-31 14:16:37.340,0.0,7.8,0.10,0.05
2025-12-31 14:16:38.342,0.0,7.8,0.10,0.05
2025-12-31 14:16:39.343,0.1,7.8,0.10,0.05
2025-12-31 14:16:40.344,0.1,7.8,0.10,0.05
2025-12-31 14:16:41.346,0.0,7.8,0.10,0.05
2025-12-31 14:16:42.347,0.0,7.8,0.10,0.05
2025-12-31 14:16:43.348,0.1,7.8,0.10,0.05
2025-12-31 14:16:44.350,0.0,7.8,0.10,0.05
2025-12-31 14:16:45.352,0.1,7.8,0.10,0.05
2025-12-31 14:16:46.353,0.1,7.8,0.10,0.05
2025-12-31 14:16:47.354,0.1,7.8,0.10,0.05
2025-12-31 14:16:48.355,0.1,7.8,0.09,0.05
2025-12-31 14:16:49.357,0.0,7.8,0.10,0.05
2025-12-31 14:16:50.358,0.2,7.8,0.10,0.05
2025-12-31 14:16:51.359,0.1,7.8,0.10,0.05
2025-12-31 14:16:52.361,0.0,7.8,0.09,0.05
2025-12-31 14:16:53.362,0.1,7.8,0.09,0.05
2025-12-31 14:16:54.363,0.0,7.8,0.09,0.05
2025-12-31 14:16:55.364,0.2,7.8,0.09,0.05
2025-12-31 14:16:56.365,0.0,7.8,0.09,0.05
2025-12-31 14:16:57.366,0.0,7.8,0.13,0.08
2025-12-31 14:16:58.368,0.0,7.8,0.10,0.05
2025-12-31 14:16:59.369,0.1,7.8,0.10,0.05
2025-12-31 14:17:00.370,0.0,7.8,0.10,0.05
2025-12-31 14:17:01.372,0.3,7.8,0.10,0.05
2025-12-31 14:17:02.373,0.1,7.8,0.10,0.05
2025-12-31 14:17:03.375,0.0,7.8,0.10,0.05
2025-12-31 14:17:04.376,0.1,7.8,0.10,0.05
2025-12-31 14:17:05.377,0.0,7.8,0.10,0.05
2025-12-31 14:17:06.378,0.0,7.8,0.10,0.05
2025-12-31 14:17:07.380,0.1,7.8,0.09,0.05
2025-12-31 14:17:08.381,0.0,7.8,0.09,0.05
2025-12-31 14:17:09.382,0.0,7.8,0.10,0.05
2025-12-31 14:17:10.384,0.0,7.8,0.10,0.05
